,Date,User,Tweet
0,2022-11-17 03:11:52+00:00,ozboogs,"Captain America: The First Avenger
The Fugitive
3:10 To Yuma
Spider-Man 2
Joker
Batman Begins
Coming To America
Wanted 
The Incredibles 1 &amp; 2
Stand By Me https://t.co/84i0SFh1cZ"
1,2022-11-17 02:20:07+00:00,THEREELMARQUIS,"@MrNiceGuy513 @Seedalicious @JordanMaison @sumter_joshua @Bainst06 @Ceesnation @Old_McFarmer @TayLaniStark @UpToTASK @SuperSuitShow @POCculture Captain America: The First Avenger - It’s set the stage for the Infinity Saga. It also was the precursor to the best ABC Marvel show, Agent Carter. How Agents of Shield got 7 seasons. Yet Agent Carter didn’t is beyond me."
2,2022-11-16 23:18:05+00:00,Spyjoey1,"@mrbrianrowe Sucker Punch (so long Rocket) 
Captain America: The First Avenger (so long Bucky)
Batman Begins (so long Ra's al Ghul) https://t.co/ODKJRtepCb"
3,2022-11-16 23:14:29+00:00,Actionfigurea,Marvel Legends Series Captain America: The First Avenger 6-Inch-Scale Movie-Inspired Captain America And Peggy Carter Collectible #ActionFigure 2-Pack (Amazon Exclusive) https://t.co/RvH3dYAwu2 https://t.co/jv7D2I0or2
4,2022-11-16 21:48:41+00:00,eddiotsavant,"@benbatemanmedia This how I felt during the first 5-7 years of the MCU: 
Iron man 2 &amp; 3
Thor 1 &amp; 2
Ant-Man 1 &amp; 2 
Captain America 1
The Incredible Hulk 
Spider-Man 1 &amp; 2
and Avengers 1 &amp; 2 

were all just okay.  They weren’t awful, but they were just decent…"
5,2022-11-16 20:17:35+00:00,_Crosshair9995_,"@Itssan17 i respect your opinion, but what about Captain America: the First Avenger, or Shazam?"
6,2022-11-16 18:35:46+00:00,deepthink5,"Which war movie is better?
#Poll 10

Robin Williams in Good Morning Vietnam. 1987

Chris Evans in Captain America, the first avenger. 2011

Denzel Washington &amp; Gene Hackman in Crimson Tide. 1995"
7,2022-11-16 18:29:54+00:00,FahimInsurance,"@SLawson1417 1. Superman 
2. Superman II
3. Batman
4. Spiderman 2
5. Blade
6.  Black Panther
7. Dark Knight Rises
8. The Avengers 
9. Man of Steel
10. Captain America the First Avenger."
8,2022-11-16 17:10:45+00:00,laha_jeet,@TylerC_D @Pollos_Hernandy It's in a novel. Captain America: First Vengeance that came out after Captain America: The First Avenger. You can watch Agent Carter for more adventures of her
9,2022-11-16 16:27:26+00:00,xhridjs,@justanelk Only one I can agree with is Captain America The First Avenger
10,2022-11-16 14:55:00+00:00,hist0ry0fthemcu,Captain America: The First Avenger (2011) https://t.co/GLi7XT6kPe
11,2022-11-16 14:40:13+00:00,dyylansdiary,i really liked captain america: the first avenger so i'm thinking i start captain marvel either tonight or some time this week. in my marvel era tbh.
12,2022-11-16 14:28:55+00:00,ShmaptainSteve,Now streaming: Captain America: The First Avenger (2011) https://t.co/sY2f06Mhjb
13,2022-11-16 13:53:07+00:00,NileLFC,"@ColinBrainVSMCU I've got some time off work recovering from surgery , so I've started at the beginning of your podcast and listening along with each film.  Loving it .  Today's film/podcast is Captain America- The First Avenger. Keep up the good work."
14,2022-11-16 12:39:02+00:00,_ChristopherM,@gunner_akh he already took their money on CAPTAIN AMERICA: THE FIRST AVENGER and just moved on...so I don't know what point you're trying to make https://t.co/OGhbEWtu9C
15,2022-11-16 12:30:22+00:00,gowenmedia,@acroce66 Captain America The First Avenger a few weeks ago
16,2022-11-16 11:58:34+00:00,tarrando,@emmasaurustex Captain America The First Avenger
17,2022-11-16 11:49:46+00:00,Jabonte_,"Also, it looks like Tony Stark and Captain America met for the first time in Avengers 1, but they actually met in Civil War. That's why they don't get along in Avengers 1. It's because of their civil war. 🤣"
18,2022-11-16 06:33:55+00:00,Merky__,"Finally decided to start watching all of the Marvel movies and TV series in chronological order. First up, Captain America, The First Avenger."
19,2022-11-16 06:17:17+00:00,Keeveee,Captain America: the first avenger https://t.co/kVOcl8f0ZX
20,2022-11-16 05:30:54+00:00,nathanael56gx,"Captain America - The First Avenger: A Screenplay NUP3NFO

https://t.co/H3Gk99YOaw https://t.co/XBDEmrMwlQ"
21,2022-11-16 04:14:40+00:00,murly1257,@emmasaurustex Captain America: The First Avenger https://t.co/K0yHQlT37z
22,2022-11-16 03:26:21+00:00,Steven27252409,@emmasaurustex Captain America: The First Avenger
23,2022-11-16 03:17:04+00:00,dyylansdiary,i watched captain america: the first avenger tonight 😁.
24,2022-11-16 02:50:42+00:00,Jam_with_AHam,"@emmasaurustex CAPTAIN AMERICA: THE FIRST AVENGER 

Bucky and Cap had me 💔💔😭😭"
25,2022-11-16 02:05:44+00:00,mertzfoc,"Yoto Children Friendly Audio Story Card – 'Captain America: The First Avenger' by Marvel Press – Audiobook for Kids for Yoto URWIGVK

https://t.co/adKxu4KImB https://t.co/1l8jseHh6u"
26,2022-11-16 01:40:11+00:00,justin_amandro,@emmasaurustex Captain America: The First Avenger
27,2022-11-15 23:40:56+00:00,gunnersbadchild,@riricitaa Captain America the first Avenger  1940s  Bucky in uniform coming to the aid of his best friend in the alley way
28,2022-11-15 20:12:07+00:00,veve_log,"Captain America – The First Avenger | Common
ATH: 300 GEMS
Today: 18.50 GEMS
Editions: 22.000
Drop Date: 31 Aug 21 https://t.co/jdnLjaCdKV https://t.co/OGJlwLQK75"
29,2022-11-15 19:17:25+00:00,RogueFlash2,"https://t.co/KFe5cxKTw3 Skull - Captain America The First Avenger (2011)

B Tier https://t.co/X9z8It98pq"
30,2022-11-15 14:13:24+00:00,lokispartner,-Captain America - The First Avenger [2011] https://t.co/tkws70bWW4
31,2022-11-15 13:20:23+00:00,chiggiyi,captain america the first avenger https://t.co/UQ6jdsDssd
32,2022-11-15 13:10:00+00:00,ArbitraryMovies,"Captain America: The First Avenger (2011)
 this classic sci-fi &amp; fantasy film has a erratic key light that does not coddle the film's dutch angle. absoulutely diminishing.
 Rating: ⭐"
33,2022-11-15 11:06:38+00:00,grgkreau,"captain america: the first avenger (2011)
3,5★/5 https://t.co/2iwEzsw1Kf"
34,2022-11-15 10:22:25+00:00,itz_ichig0,"starting my mcu chronological rewatch with one of my favorite mcu movies

Captain America: The First Avenger https://t.co/R6DJSlTKYt"
35,2022-11-15 08:42:28+00:00,dredpiraterobn,"@DoreddoSuit A cameo from Captain America, the First Avenger."
36,2022-11-15 08:29:10+00:00,CarlosS63100326,"Install this app, Watch and download ""Captain America: The First Avenger"" at no cost. https://t.co/PlwFe6WK3B https://t.co/vBUcfDJCkS"
37,2022-11-15 08:20:00+00:00,moviemenfes,/mvs/ jadi steve rogers muda yg kecil dan pendek di captain America the first avenger itu memang beneran Chris Evans atau di ganti sama yang lain?
38,2022-11-15 05:58:27+00:00,PeekWiL,"@geekritique_dak Plus, in the official screenplay pdf for Captain America: The First Avenger, it says that the year is 1945 when Bucky falls to his presumed death and Zola is captured. https://t.co/xpT8aT3NDi"
39,2022-11-15 05:31:06+00:00,Quill00mpa17,"@driftingbat The Batman, Spider-Man 2, Into the Spider-verse, Captain America: The First Avenger, Dark Knight Rises"
40,2022-11-15 04:37:48+00:00,RungtaAarav,"@driftingbat The batman
BvS
Logan and Spider-Man ITSV
Captain America the first Avenger 
TDKR"
41,2022-11-15 01:54:49+00:00,authorityhop,"I didn't even see the first Captain America in theaters; and in fact, did not see it until After the first Avengers film came out. Same with that first Thor; skipped em. I still remember people all excited to see Loki in Avengers and my reaction was .... https://t.co/PynG75THL7"
42,2022-11-15 01:49:40+00:00,TheCreoleMenace,"If y'all tryna watch black panther shii make sure you watch it i order

• captain America civil war his first appearance 
• the first Black Panther movie 
• Avengers infinity War
• Avengers EndGame
• The Second Black Panther"
43,2022-11-15 01:09:40+00:00,ThatNeilGuy,"My wife is watching Captain America The First Avenger and now I am watching Captain America The First Avenger. Stupid nazi guy shooting Stanley Tucci, grr."
44,2022-11-15 00:40:08+00:00,mattbergerh,"You heard it first here, folks, David Bradley's The Tower Keeper from CAPTAIN AMERICA: THE FIRST AVENGER is returning in AVENGERS: SECRET WARS https://t.co/RztX93ntsL https://t.co/PWDp3GdF03"
45,2022-11-14 23:57:13+00:00,RavensFlockCapt,Captain America: The First Avenger is the worst MCU movie??? All your credibility just went right out the window. https://t.co/aQ7yummgzi
46,2022-11-14 20:13:44+00:00,ZoneOutNov,"@DeLa_Preme They gotta fuck with the avengers thou… wakanda and dem was the first ones to show up for captain America against thanos… I shoulda saw somebody there, a call or something idk"
47,2022-11-14 20:09:15+00:00,goober_inc,"Batman Begins
Zack Snyder's Justice League
Logan
Captain America: The First Avenger
Batman Returns https://t.co/6tjrjGChuv"
48,2022-11-14 19:33:10+00:00,dialeforeloise,hayley atwell as agent peggy carter in captain america the first avenger (2011) fancam edit https://t.co/KF0BO0JifI
49,2022-11-14 15:58:35+00:00,imshivraj101,"Not gonna lie , this was the CAPTAIN AMERICA THE FIRST AVENGER movie 🤷 https://t.co/nsPF9hB06g"
50,2022-11-14 15:48:29+00:00,George95647455,"In Captain America 2, the entirety of the U.S Government are Nazi's

In Iron Man 3, the literal vice president helps out a billionaire pretending to be a terrorist.

In the first Avengers movie the Nazi's (who it wasnt revealed btw) had a plan to nuke New York. https://t.co/ZKeonDNT8E"
51,2022-11-14 12:37:35+00:00,RockyMNG,"The Infinity Saga: Phase One (2008-2012)

Iron Man (May 2, 2008)
The Incredible Hulk (June 13, 2008)
Iron Man 2 (May 7, 2010)
Thor (May 6, 2011)
Captain America: The First Avenger (July 22, 2011)
Marvel’s The First Avengers (May 4, 2012)"
52,2022-11-14 10:48:22+00:00,andyniivan,@SavVidiany @moviemenfes Captain america the first avenger
53,2022-11-14 08:31:47+00:00,syedwasilali36,"@blurayangel Sorry to say that this is the worst movie of MCU, if we ignore incredible hulk, Captain America:the first Avenger &amp; Thor:Love and thunder. But also say that this movie have also the worst CGI,if we ignore she hulk. So conclusion is Black widow is not a bad movie. In the end wtf!"
54,2022-11-14 06:25:22+00:00,LetsPlaceBot,Captain America: The First Avenger is subjectively the 18th best non-MCU Marvel film of all time to our knowledge (according to Ty)
