,Date,User,Tweet
0,2022-11-17 02:41:07+00:00,ehRucci,"@hasanthehun Wouldn't aliens be more like,'We stopped giving two shits about that, and that's why we have intersteller travel now you meat puppets!'."
1,2022-11-17 02:19:33+00:00,InterstellerBOT,"「無事だったのか」
「ああ。どうやら5次元の世界で彼らに助けられた」
「彼らってなんだ。なんでそんなに親切なんだ」
「さあな。彼らはあんたにもよくわかるように、5次元の空間の内側に3次元の空間を作った」"
2,2022-11-17 02:05:32+00:00,SONSIOUX1,im plottin on sliding the mars moon out of orbit in our general direction and havin some intersteller target practice.timin it like a package.theres somethin in that fkr.we need it.
3,2022-11-17 01:19:24+00:00,InterstellerBOT,"「ユーモアの設定レベルは」
「もちろん100％だ」
「頼む75に下げてくれ」
#インターステラー"
4,2022-11-17 00:50:12+00:00,Interstellerjay,@vintagecoyote @covencryptid Is it possible to have them send you proof that it’s shipped??
5,2022-11-17 00:19:27+00:00,InterstellerBOT,「ここから見る地球は素晴らしい。綺麗だ。土埃も見えないし」
6,2022-11-16 23:19:31+00:00,InterstellerBOT,"「ミラーに何があった」
「シャトルの残骸から見て、大波がもろに直撃したんだと思う」
「あの残骸は何年も流されなかったのか」
「時間のズレがあるからよ。この星の時間では、彼女が到着したのは数時間前。おそらく死んだのは数分前…」
「最初の状況報告を繰り返し受信してたんだ」"
7,2022-11-16 21:51:16+00:00,xotiffanylynn,"No but today ...
Really did drain me lol 😅

Time to shut this body down
Turn on my all time favorite movie
#Intersteller  with #MatthewMcConaughey

And a nice warm cup of tea. ☕

Early goodnight from me all."
8,2022-11-16 21:38:13+00:00,Jota_tarif,"@M_OBEID14 intersteller
حاجه خيااال بكل"
9,2022-11-16 21:29:44+00:00,RobertTBrewer1,"@hannaweeen Definitely not the Alexithymia shame spiral I've been trapped in for 30 years. Nope, how would I recognize that in someone else?

Her giant 2000 word document on an intersteller government was in no way indicative of a special interest and her therapist said she isn't so there."
10,2022-11-16 20:36:41+00:00,Interstellerjay,@_kairy_draws_ This wasn’t one or two freckles either.  It was just supposed to be a surprise gift art cus I needed examples of halfbodys for my commission sheet and just ended up leaving a bad taste in my mouth cus I literally had to change these damn spots 3 times after already shading https://t.co/OMmgYOWLDv
11,2022-11-16 20:29:46+00:00,Interstellerjay,@_kairy_draws_ P much only good experiences commissioning folks.  Worst experience I’ve had DOING commissions was when I was doing a free art piece for a person for me to use as an art example and they literally harassed me for two days asking for multiple edits for exact placement of freckles
12,2022-11-16 19:59:50+00:00,ArtistSinclair,"now showing, on The Beast 2, Chris Nolan's headfuck which will make me cry ... again ... 'INTERSTELLER' ... #christophernolan https://t.co/4292gELdJo"
13,2022-11-16 17:57:30+00:00,AafanLone,@ESPNFC Ronaldo
14,2022-11-16 17:37:29+00:00,BicycleJuny,"個人的にアルバムの尺、サイズはとても重要で、出だしが良くても長かったりトラック数が多いとどうしても総合的に評価が下がる。
★★★☆☆

アルバム - Intersteller Fugitives https://t.co/50Wpnz817R @YouTubeMusicより"
15,2022-11-16 16:02:17+00:00,AafanLone,@Shiv_1630 😂
16,2022-11-16 14:19:32+00:00,InterstellerBOT,"「TARS、NASAの所在地の座標をバイナリデータでくれ」
「了解。バイナリデータ送信」"
17,2022-11-16 13:23:52+00:00,25j00,@MilaneloJR Comme intersteller jsp quoi ? C’est nul ça
18,2022-11-16 13:19:26+00:00,InterstellerBOT,"「星の重力は地球よりも重いから、時間の流れがかなり遅い」
「どれくらい違う？」
「ミラーの星での1時間の活動は、地球上での7年に相当する」
「嘘だろ…」
「いわゆる相対性理論だ」"
19,2022-11-16 12:51:19+00:00,SpampinatoJazz,"@elonmusk @unusual_whales Well well, @malvagiojasj3 say I’m hiring but if you hate them I ain’t touching. I have an interesting project that is good. Potential. I mainly intersteller but am offering tips while while re reading @michiokaku for 2nd backup if needed. @MalvagioLA and patents @SpaceX."
20,2022-11-16 12:19:27+00:00,InterstellerBOT,"「事象の地平線を超えた後は全くの謎だ。そこでだ、特異点を観測し、量子データを送信する方法があるとしたらどうだ。パルス信号の送信機を彼に装備すれば可能なはずだ」
「ひょっとしてその彼ってのは私ですか。教授」
「ブラックホールにはTARSに行ってもらう。もうすでに話はしてある」"
21,2022-11-16 11:19:31+00:00,InterstellerBOT,"「こんな世界じゃお前には物足りないか」
「それは俺が宇宙に行くために生まれてきたような男で、今興奮してるってことか。それは別に悪いことじゃないだろ」
「違うぞ、正しい行いが間違った動機ではいかん。分かるか、正しい動機とは土台だ」"
22,2022-11-16 10:19:26+00:00,InterstellerBOT,"「生きてるのか」
「2週間後にいらっしゃいます。高齢でほかのステーションからの移動は厳しいのですが、どうしてもあなたに会いたいと」"
23,2022-11-16 09:19:26+00:00,InterstellerBOT,"「居住に適した星が手に届くところにある」
「これまでの探査は12回だ」
「探査機を送ったのか」
「有人探査機だ。10年になる」
「ラザロ計画か」"
24,2022-11-16 08:19:33+00:00,InterstellerBOT,"「だが問題はまだ解決していない」
「だからプランBがある。一番の問題は重力。いかに多くの人を宇宙に運ぶか。解決案はプランBの人口爆弾。重さは数百キロ以下で、5,000以上の受精卵を乗せる」"
25,2022-11-16 07:19:26+00:00,InterstellerBOT,「我々の3次元とは別世界だ」
26,2022-11-16 06:19:26+00:00,InterstellerBOT,「すべての事が、複雑に絡まっている。彼らは自由。時空を超えられて何者にも縛られない。だけど特定の時間・場所を見つけて、何かを伝えることはできないんだ。俺がここにいるのは、マーフに伝えるためだ。本を落として伝えたように」
27,2022-11-16 05:19:29+00:00,InterstellerBOT,"「マーフには光るものがある。私がそれを伸ばしてやりたい」
「光りすぎて先生を馬鹿にしてるよ。おたくも孫に馬鹿にされたいのか」"
28,2022-11-16 04:19:25+00:00,InterstellerBOT,"「見ての通りここでは時間も物理的な次元だ。そして時空を超えられる力があることを実証したじゃないか」
「重力か。メッセージを送れる」
「その通り」"
29,2022-11-16 03:19:26+00:00,InterstellerBOT,"「ウエストのサイズは？32くらい？股下は33か」
「何の話だ」
「ズボンでさえサイズは2つ測るのに、息子の将来の物差しは1つだけか」"
30,2022-11-16 02:19:32+00:00,InterstellerBOT,"「何とかして見せますよ。いつもそうしてきた」
「自分の星は自分で守るか。傲慢だな」
「そうじゃありません、だが故郷です」
「飢饉を生き延びた者を待つのは窒息死だ。おそらくお嬢ちゃんたちが、最後に生き残る世代だ」"
31,2022-11-16 01:19:24+00:00,InterstellerBOT,"「よう、CASE」
「やあ、TARS」"
32,2022-11-16 00:19:25+00:00,InterstellerBOT,「悪いな。地球に返すわけにはいかない。任務にはあの船が必要なんだ。分かっただろ。この星に住むことはできない。ここでは生き残れない。すまない、許してくれ」
33,2022-11-15 23:19:31+00:00,InterstellerBOT,「まだわからないのか。彼らじゃないんだ。俺たちだ。俺がマーフにしたことと、これは同じだ」
34,2022-11-15 20:54:40+00:00,HildaSchweiger,"@MovieEndorser The Dark Knight Rises, but Intersteller was great 🖤 Love me some Chris Nolan 🖤"
35,2022-11-15 15:32:25+00:00,venxeancee,"@SarcasticRookie @Rahulfinity @Prash023 @Spread__hate @ShreehAsh42 @shinigamichakra Godfather 2, Goodfellas, Good bad &amp; Ugly, Paris Texas, 12 angry men, Psycho, Tdk/tdkr, scent of a woman, Braveheart, Yojimbo, Wages of fear, Stand by me, Intersteller, The Social network, Hateful eight, whiplash, get out, Taxi Driver, Irishman, one flew over cuckoo's nest"
36,2022-11-15 14:19:30+00:00,InterstellerBOT,"「成功したかな」
「ああうまくいった」
「どうしてわかる」
「高次元の彼らが四次元立方体を閉じ始めた」"
37,2022-11-15 13:19:27+00:00,InterstellerBOT,"「星に着陸しようとして近づきすぎると、ブラックホールの中に飲み込まれてしまう」
「だったら中性子星の軌道で重力ターンして…」
「そうじゃなくて、問題は時間」"
