tconst;Rating;Votes;Type;Year;Title;Adult;Minutes
tt0816692;8.6;1790927;movie;2014;Interstellar;0;169
tt0993846;8.2;1384128;movie;2013;The Wolf of Wall Street;0;180
tt0848228;8;1379652;movie;2012;The Avengers;0;143
tt0800369;7;843189;movie;2011;Thor;0;115
tt0458339;6.9;838292;movie;2011;Captain America: The First Avenger;0;124
tt0903624;7.8;821945;movie;2012;The Hobbit: An Unexpected Journey;0;169
tt0770828;7.1;765113;movie;2013;Man of Steel;0;143
tt0816711;7;661638;movie;2013;World War Z;0;116
tt0478970;7.3;659646;movie;2015;Ant-Man;0;117
tt0948470;6.9;652326;movie;2012;The Amazing Spider-Man;0;136
tt0780504;7.8;634007;movie;2011;Drive;0;100
tt0470752;7.7;541287;movie;2014;Ex Machina;0;108
tt0945513;7.5;518945;movie;2011;Source Code;0;93
tt0790636;7.9;486019;movie;2013;Dallas Buyers Club;0;117
tt0974015;6.1;449985;movie;2017;Justice League;0;120
tt0831387;6.4;413235;movie;2014;Godzilla;0;123
tt0790724;7;341157;movie;2012;Jack Reacher;0;130
tt0970179;7.5;322875;movie;2011;Hugo;0;126
tt0803096;6.7;263706;movie;2016;Warcraft;0;123
tt0837562;7;254630;movie;2012;Hotel Transylvania;0;91
tt0978764;6;243175;movie;2011;Sucker Punch;0;110
tt0983193;7.3;231203;movie;2011;The Adventures of Tintin;0;107
tt0481499;7.2;214675;movie;2013;The Croods;0;98
tt0993842;6.8;199390;movie;2011;Hanna;0;111
tt0829150;6.2;195159;movie;2014;Dracula Untold;0;92
tt0870154;6.6;185956;movie;2021;Jungle Cruise;0;127
tt0810819;7.1;185559;movie;2015;The Danish Girl;0;119
tt0478304;6.8;177328;movie;2011;The Tree of Life;0;139
tt0918940;6.2;177190;movie;2016;The Legend of Tarzan;0;110
tt0993840;5.7;171574;movie;2021;Army of the Dead;0;148
tt0458481;6.5;162281;movie;2014;Sin City: A Dame to Kill For;0;102
tt0472399;6.5;161350;movie;2011;The Mechanic;0;93
tt0990407;5.8;160833;movie;2011;The Green Hornet;0;119
tt0471042;6.2;144624;movie;2011;Tower Heist;0;104
tt0816442;7.5;135840;movie;2013;The Book Thief;0;131
tt0475290;6.3;135091;movie;2016;Hail, Caesar!;0;106
tt0790736;5.6;133331;movie;2013;R.I.P.D.;0;96
tt0905372;6.2;132833;movie;2011;The Thing;0;103
tt0480687;5.9;126230;movie;2011;Hall Pass;0;105
tt0822847;5.7;120326;movie;2011;Priest;0;87
tt0490215;7.1;113041;movie;2016;Silence;0;161
tt0848537;6.6;105674;movie;2013;Epic;0;102
tt0477302;6.9;102249;movie;2011;Extremely Loud & Incredibly Close;0;129
tt0816462;5.1;99420;movie;2011;Conan the Barbarian;0;113
tt0479997;5.4;94563;movie;2011;Season of the Witch;0;95
tt0837563;5.7;92404;movie;2019;Pet Sematary;0;101
tt0472181;5.4;90749;movie;2011;The Smurfs;0;103
tt0882977;6.4;88725;movie;2013;Snitch;0;112
tt0810913;3.3;85022;movie;2011;Jack and Jill;0;91
tt0770703;6;81540;movie;2011;What's Your Number?;0;106
tt0884732;6.6;76459;movie;2015;The Wedding Ringer;0;101
tt0975645;6.8;76301;movie;2012;Hitchcock;0;98
tt0790628;5.9;73957;movie;2013;The Incredible Burt Wonderstone;0;100
tt0795461;3.5;72058;movie;2013;Scary Movie V;0;88
tt0864835;6.8;70746;movie;2014;Mr. Peabody & Sherman;0;92
tt0873886;6.1;64785;movie;2011;Red State;0;88
tt0938330;4.9;63831;movie;2012;Silent Hill: Revelation;0;95
tt0491152;5.8;62565;movie;2011;Something Borrowed;0;112
tt0787474;6.8;58093;movie;2014;The Boxtrolls;0;96
tt0499097;5.8;57858;movie;2021;Without Remorse;0;109
tt0787524;7.2;57616;movie;2015;The Man Who Knew Infinity;0;108
tt0881320;5.9;55801;movie;2011;Sanctum;0;108
tt0810922;6.3;53618;movie;2011;Take Me Home Tonight;0;114
tt0983946;4.9;52510;movie;2020;Fantasy Island;0;109
tt0800325;6.9;49692;movie;2019;The Dirt;0;107
tt0493405;6;48253;movie;2017;CHIPS;0;100
tt0491175;5.7;44536;movie;2017;Suburbicon;0;105
tt0763831;5.8;42918;movie;2012;A Thousand Words;0;91
tt0462335;5.5;42828;movie;2015;High-Rise;0;119
tt0498381;4.5;40907;movie;2017;Rings;0;102
tt0805647;5.3;40660;movie;2020;The Witches;0;106
tt0903657;7.4;39850;movie;2014;Love & Mercy;0;121
tt0770802;8.4;36045;movie;2011;Samsara;0;102
tt0485985;5.9;35745;movie;2012;Red Tails;0;125
tt0458413;6.3;33459;movie;2014;A Long Way Down;0;96
tt0469021;6.9;31869;movie;2013;Alan Partridge;0;90
tt0775440;4.4;28262;movie;2016;Cell;0;98
tt0859635;6;26776;movie;2018;Super Troopers 2;0;100
tt0900387;7;26636;movie;2014;Suite Française;0;107
tt0765446;5.8;25863;movie;2012;Escape from Planet Earth;0;89
tt0938305;6.8;23348;movie;2012;Freaky Deaky;0;90
tt0804463;6.1;22059;movie;2013;Devil's Knot;0;114
tt0491203;6.2;21348;movie;2017;Tulip Fever;0;105
tt0961097;6.7;21290;movie;2011;A Monster in Paris;0;90
tt0857190;6.1;19809;movie;2012;The Sweeney;0;112
tt0803061;7.3;18175;movie;2011;Red Dog;0;92
tt0466893;6.5;17531;movie;2011;Margaret;0;150
tt0860907;6.9;15654;movie;2012;Evangelion: 3.0 You Can (Not) Redo;0;96
tt0893412;5.5;15151;movie;2011;From Prada to Nada;0;107
tt0460890;6.3;14858;movie;2017;The Only Living Boy in New York;0;89
tt0480239;5.6;13836;movie;2011;Atlas Shrugged: Part I;0;97
